election.date,county,unknown.flag,name,addr.line.1,addr.line.2,open.date,hours,lon,lat
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/21/2016,Closed,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/22/2016,Closed,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/23/2016,Closed,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/24/2016,Closed,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/25/2016,Closed,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/26/2016,Closed,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/27/2016,8:00AM - 7:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/28/2016,8:00AM - 7:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/29/2016,9:00AM - 6:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/30/2016,1:00PM - 6:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",10/31/2016,8:00AM - 7:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",11/01/2016,8:00AM - 7:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",11/02/2016,8:00AM - 7:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",11/03/2016,8:00AM - 7:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",11/04/2016,8:00AM - 7:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,SOUTH COUNTY REGIONAL LIBRARY,5801 REA RD,"CHARLOTTE, NC 28277",11/05/2016,9:00AM - 1:00PM,-80.8115514,35.0865366
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/20/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/21/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/22/2016,9:00AM - 6:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/23/2016,1:00PM - 6:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/24/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/25/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/26/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/27/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/28/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/29/2016,9:00AM - 6:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/30/2016,1:00PM - 6:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",10/31/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",11/01/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",11/02/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",11/03/2016,8:00AM - 7:00PM,-80.962018,35.11574
11/08/2016,MECKLENBURG,N,STEELE CREEK AREA,11130 SOUTH TRYON ST,"CHARLOTTE, NC 28273",11/04/2016,8:00AM - 7:00PM,-80.962018,35.11574
